Nom;Pob
  05075-Fresnedilla ;131
  05076-Fresno, El ;601
  05077-Fuente el Saúz ;182
  05078-Fuentes de Año ;126
  05079-Gallegos de Altamiros ;72
  05080-Gallegos de Sobrinos ;56
  05081-Garganta del Villar ;40
  05082-Gavilanes ;619
  05083-Gemuño ;169
  05085-Gil García ;43
  05084-Gilbuena ;73
  05086-Gimialcón ;85
  05087-Gotarrendura ;164
  05088-Grandes y San Martín ;30
  05089-Guisando ;534
  05090-Gutierre-Muñoz ;90
  05092-Hernansancho ;184
  05093-Herradón de Pinares ;549
  05094-Herreros de Suso ;145
  05095-Higuera de las Dueñas ;302
  05096-Hija de Dios, La ;82
  05097-Horcajada, La ;525
  05099-Horcajo de las Torres ;556
  05100-Hornillo, El ;317
  05102-Hoyo de Pinares, El ;2308
  05101-Hoyocasero ;369
  05103-Hoyorredondo ;77
  05106-Hoyos de Miguel Muñoz ;35
  05104-Hoyos del Collado ;33
  05105-Hoyos del Espino ;364
  05107-Hurtumpascual ;62
  05108-Junciana ;53
  05109-Langa ;520
  05110-Lanzahíta ;905
  05113-Llanos de Tormes, Los ;82
  05112-Losar del Barco, El ;109
  05114-Madrigal de las Altas Torres ;1524
  05115-Maello ;647
  05116-Malpartida de Corneja ;123
  05117-Mamblas ;220
  05118-Mancera de Arriba ;88
  05119-Manjabálago y Ortigosa de Rioalmar ;34
  05120-Marlín ;37
  05121-Martiherrero ;307
  05122-Martínez ;139
  05123-Mediana de Voltoya ;106
  05124-Medinilla ;112
  05125-Mengamuñoz ;63
  05126-Mesegar de Corneja ;75
  05127-Mijares ;767
  05128-Mingorría ;407
  05129-Mirón, El ;134
  05130-Mironcillo ;101
  05131-Mirueña de los Infanzones ;98
  05132-Mombeltrán ;1171
  05133-Monsalupe ;72
  05134-Moraleja de Matacabras ;47
  05135-Muñana ;435
  05136-Muñico ;111
  05138-Muñogalindo ;374
  05139-Muñogrande ;63
  05140-Muñomer del Peco ;131
  05141-Muñopepe ;112
  05142-Muñosancho ;104
  05143-Muñotello ;64
  05144-Narrillos del Álamo ;85
  05145-Narrillos del Rebollar ;56
  05149-Narros de Saldueña ;110
  05147-Narros del Castillo ;180
  05148-Narros del Puerto ;27
  05152-Nava de Arévalo ;801
  05153-Nava del Barco ;108
